2024-06-14T02:25:54+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:25:58+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:25:58+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:26:07+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:26:07+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:26:07+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:26:07+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:26:07+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:26:09+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:26:09+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:26:15+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:26:16+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:26:17+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:26:18+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:26:18+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:26:22+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:26:22+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:26:25+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:26:25+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:41:40+00:00 CRITICAL Uncaught Error: Undefined constant "‘wc_empty_cart_message’" in /home2/pro61805/public_html/wp-content/themes/organic-food-store/functions.php:10 CONTEXT: {"error":{"type":1,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":10},"backtrace":["","#0 \/home2\/pro61805\/public_html\/wp-settings.php(663): include()","#1 \/home2\/pro61805\/public_html\/wp-config.php(102): require_once('\/home2\/pro61805...')","#2 \/home2\/pro61805\/public_html\/wp-load.php(50): require_once('\/home2\/pro61805...')","#3 \/home2\/pro61805\/public_html\/wp-blog-header.php(13): require_once('\/home2\/pro61805...')","#4 \/home2\/pro61805\/public_html\/index.php(17): require('\/home2\/pro61805...')","#5 {main}","thrown"]}
